检索关键词,岗位名称,省份,城市,薪资原始文本,平均月薪,学历门槛,工作年限要求,企业名称
数据,研发数据工程师（BOM/数据标准化方向),北京,北京市,15000-30000元/月,22500.0,本科,3-5年,北京石头世纪科技股份有限公司
数据,数据分析师,北京,北京市,25000-45000元/月,35000.0,本科,3-5年,北京多多迦游信息技术有限公司
数据,数据科学家,北京,北京市,30000-60000元/月,45000.0,本科,5-10年,北京多多迦游信息技术有限公司
数据,数据采集员,北京,北京市,8000-9000元/月,8500.0,大专,不限,博彦科技承德有限公司
数据,数据分析师,北京,北京市,6000-11000元/月,8500.0,大专,1-3年,北京恒坤在线科技集团有限公司
数据,数据分析师,北京,北京市,15000-20000元/月,17500.0,本科,1-3年,刚睿商业咨询北京有限公司
数据,数据收集员,北京,北京市,160-260元/月,210.0,大专,不限,北京深度衍智科技有限公司
数据,数据分析师,北京,北京市,15000-30000元/月,22500.0,本科,1-3年,北京达佳互联信息技术有限公司
数据,数据工程师,北京,北京市,35000-55000元/月,45000.0,本科,5-10年,北京多多迦游信息技术有限公司
数据,数据分析师,北京,北京市,15000-25000元/月,20000.0,本科,1-3年,北京臻盛网络技术有限公司
数据,数据架构师,北京,北京市,20000-40000元/月,30000.0,本科,5-10年,北京京东科技有限公司
数据,数据架构师,北京,北京市,16000-23000元/月,19500.0,本科,5-10年,林德中国叉车有限公司
数据,数据分析师,北京,北京市,5000-10000元/月,7500.0,硕士,不限,北京燕缘智融科技有限公司
数据,数据分析岗,北京,北京市,20000-25000元/月,22500.0,本科,5-10年,北京京东世纪贸易有限公司
数据,数据工程师,北京,北京市,6000-10000元/月,8000.0,本科,不限,斑图信息科技青岛有限公司
数据,项目组长（自驾数据标注方向）,天津,天津市,6000-8000元/月,7000.0,大专,1-3年,和光艾迪天津数据科技有限公司
数据,数据治理,天津,天津市,15000-20000元/月,17500.0,本科,5-10年,知行数治北京信息技术有限公司
数据,（俄语）小语种数据标注,天津,天津市,6000-8000元/月,7000.0,本科,不限,和光艾迪天津数据科技有限公司
数据,（英语）语音数据标注,天津,天津市,7000-10000元/月,8500.0,本科,不限,和光艾迪天津数据科技有限公司
数据,医疗 OPC 总经理（心电数据）,天津,天津市,30000-50000元/月,40000.0,本科,5-10年,河北数源数据科技有限公司
数据,IDC数据中心-暖通工程师,天津,天津市,8000-12000元/月,10000.0,本科,3-5年,天津江天数据科技有限公司
数据,AI数据标注师 五险一金 无经验可投,天津,天津市,3000-4000元/月,3500.0,大专,不限,和光艾迪天津数据科技有限公司
数据,数据标注  工作简单/纯文职,天津,天津市,2000-5000元/月,3500.0,大专,不限,安通长青天津数据科技有限公司
数据,数据标注专员,天津,天津市,3000-4000元/月,3500.0,大专,不限,和光艾迪天津数据科技有限公司
数据,搜索模型数据标注-英文,天津,天津市,7000-8000元/月,7500.0,本科,1-3年,广州景烁数据科技有限公司
数据,数据标注组长,天津,天津市,4000-5000元/月,4500.0,不限,1-3年,模道天津数字科技有限公司
数据,豆包搜索-电商数据标注,天津,天津市,6000-7000元/月,6500.0,本科,1-3年,广州景烁数据科技有限公司
数据,多模态大模型数据标注（角色扮演方向）韩语,天津,天津市,6000-7000元/月,6500.0,本科,1-3年,广州景烁数据科技有限公司
数据,数据标注专员,天津,天津市,2000-5000元/月,3500.0,大专,不限,安通长青天津数据科技有限公司
数据,智能驾驶数据标注员,天津,天津市,4000-5000元/月,4500.0,大专,不限,和光艾迪天津数据科技有限公司
数据,电商数据标注,天津,天津市,3000-4000元/月,3500.0,大专,1-3年,和光艾迪天津数据科技有限公司
数据,Python研发工程师（智能驾驶数据方向）,天津,天津市,10000-15000元/月,12500.0,本科,不限,和光艾迪天津数据科技有限公司
数据,数据开发工程师 点云处理与平台工具链方向,天津,天津市,10000-15000元/月,12500.0,大专,1-3年,和光艾迪天津数据科技有限公司
数据,数据治理,天津,天津市,10000-13000元/月,11500.0,本科,3-5年,中电信数智科技有限公司
数据,数据产品经理,天津,天津市,20000-40000元/月,30000.0,本科,5-10年,北京中数睿智科技有限公司
数据,数据治理,天津,天津市,8000-11000元/月,9500.0,本科,3-5年,北京软通动力云计算科技服务有限公司
数据,数据产品规划工程师,天津,天津市,7000-10000元/月,8500.0,本科,3-5年,天津航数信息技术有限公司
数据,数据标注,天津,天津市,3000-4000元/月,3500.0,大专,不限,天津智创新业科技有限公司
数据,数据分析,天津,天津市,6000-8000元/月,7000.0,本科,1-3年,北京漫维科技有限公司
数据,数据分析师,天津,天津市,10000-15000元/月,12500.0,初中及以下,不限,天津市东丽区天之韵培训学校有限公司
数据,数据架构师,天津,天津市,7000-9000元/月,8000.0,硕士,1-3年,天津市蓟州区芝翠信息服务社个体工商户
数据,数据分析师,天津,天津市,15000-30000元/月,22500.0,本科,1-3年,中交第一航务工程局有限公司
数据,数据标注实习生,天津,天津市,2000-3000元/月,2500.0,本科,不限,天津天开智汇云数字科技有限公司
数据,数据库,天津,天津市,12000-20000元/月,16000.0,硕士,3-5年,天津清润博智能科技有限公司
数据,数据标注到这里看一看！！！,天津,天津市,4000-5000元/月,4500.0,不限,不限,模道天津数字科技有限公司
数据,数据库研发工程师,天津,天津市,15000-30000元/月,22500.0,本科,不限,连岳润华北京数智科技有限公司
数据,数据标注/AI训练师,天津,天津市,25-30元/月,27.5,不限,不限,模道天津数字科技有限公司
数据,数据开发,天津,天津市,15000-20000元/月,17500.0,本科,5-10年,北京真程科技有限公司
数据,数据专员,天津,天津市,6000-10000元/月,8000.0,本科,1-3年,深圳顺丰泰森控股集团有限公司
数据,数据标注,天津,天津市,2000-4000元/月,3000.0,大专,不限,天津市兴奇光桦科技有限公司
数据,数据标注,天津,天津市,3000-5000元/月,4000.0,大专,,山西星火飞扬科技有限公司
数据,数据专员,天津,天津市,6000-8000元/月,7000.0,本科,1-3年,广州智研方略信息服务有限公司
数据,数据—管理岗,天津,天津市,6000-8000元/月,7000.0,本科,3-5年,天津市汇高世纪商贸有限公司
数据,数据分析师,天津,天津市,15000-25000元/月,20000.0,本科,1-3年,库迪咖啡北京有限公司
数据,数据采集专员,天津,天津市,3000-6000元/月,4500.0,大专,不限,北京云百讯科技有限公司
数据,ai数据标注,天津,天津市,3000-6000元/月,4500.0,大专,不限,山西星火飞扬科技有限公司
数据,数据采集员,天津,天津市,3000-4000元/月,3500.0,大专,不限,北京云百讯科技有限公司
数据,数据采集专员,天津,天津市,3000-4000元/月,3500.0,大专,不限,北京云百讯科技有限公司
数据,数据采集专员,天津,天津市,3000-6000元/月,4500.0,大专,不限,北京云百讯科技有限公司
数据,数据标注专员,天津,天津市,3000-6000元/月,4500.0,大专,不限,北京云百讯科技有限公司
数据,数据标注文员,天津,天津市,3000-6000元/月,4500.0,大专,不限,北京云百讯科技有限公司
数据,数据标注员,天津,天津市,3000-5000元/月,4000.0,大专,不限,天津睿通智创科技有限公司
数据,数据标注专员,天津,天津市,5000-7000元/月,6000.0,本科,不限,优视科技中国有限公司
数据,大数据分析师,天津,天津市,6000-8000元/月,7000.0,本科,1-3年,天津静海新桦里综合门诊部有限公司
数据,数据标注/AI训练师（实习生）,天津,天津市,3000-4000元/月,3500.0,不限,不限,模道天津数字科技有限公司
数据,数据统计专员,天津,天津市,4000-5000元/月,4500.0,大专,1-3年,吉林省皓创供应链管理有限公司
数据,大数据分析师,天津,天津市,5000-7000元/月,6000.0,本科,1-3年,天津矿海科技实业有限公司
数据,仓库数据文员,天津,天津市,4000-5000元/月,4500.0,不限,1-3年,卓集送信息科技武汉有限公司
数据,大数据分析师,天津,天津市,10000-11000元/月,10500.0,本科,,天津漫视界文化传媒有限公司
数据,数据库工程师,天津,天津市,14000-21000元/月,17500.0,本科,3-5年,杭州中港科技有限公司
数据,数据安全岗,天津,天津市,8000-13000元/月,10500.0,本科,3-5年,爱玛科技集团股份有限公司
数据,数据运营专员,天津,天津市,4000-6000元/月,5000.0,不限,,中公象升天津消防技术有限公司
数据,数据开发工程师,天津,天津市,11000-17000元/月,14000.0,本科,5-10年,安徽兆尹信息科技股份有限公司
数据,ai数据标注员,天津,天津市,3000-6000元/月,4500.0,大专,不限,东莞市杰尼赛思信息科技有限公司
数据,ai数据标注员,天津,天津市,2000-3000元/月,2500.0,大专,不限,天津云启骐骥信息技术有限公司
数据,大模型数据分析师,天津,天津市,5000-8000元/月,6500.0,本科,不限,山西鑫云创科技有限公司
数据,数据标注专员,天津,天津市,3000-6000元/月,4500.0,大专,不限,嘉兴市杰尼赛思信息科技有限公司
数据,数据治理项目经理,天津,天津市,11000-22000元/月,16500.0,本科,5-10年,北京创信恒通科技有限公司
数据,数据架构工程师,天津,天津市,24000-25000元/月,24500.0,本科,5-10年,天津市垦森矿业有限公司
数据,数据采集专员,天津,天津市,3000-6000元/月,4500.0,大专,不限,山西星火飞扬科技有限公司
数据,美术数据标注专员,天津,天津市,5000-6000元/月,5500.0,大专,不限,天津汇宜科技有限公司
数据,数据标注（美学）,天津,天津市,4000-5000元/月,4500.0,大专,不限,天津智创新业科技有限公司
数据,数据集产品经理,天津,天津市,15000-30000元/月,22500.0,本科,1-3年,中交第一航务工程局有限公司
数据,数据治理工程师,天津,天津市,15000-30000元/月,22500.0,本科,1-3年,中交第一航务工程局有限公司
数据,数据开发工程师,天津,天津市,8000-10000元/月,9000.0,本科,5-10年,天津新能再生资源有限公司
数据,AI数据模型师,天津,天津市,10000-15000元/月,12500.0,本科,3-5年,爱玛科技集团股份有限公司
数据,数据标注质检员,天津,天津市,5000-6000元/月,5500.0,不限,不限,天津汇宜科技有限公司
数据,数据标注质检员,天津,天津市,5000-6000元/月,5500.0,本科,不限,天津汇宜科技有限公司
数据,高级数据分析师,天津,天津市,15000-20000元/月,17500.0,硕士,3-5年,志远供应链天津有限公司
数据,市场数据分析专员,天津,天津市,5000-7000元/月,6000.0,本科,3-5年,天津信谊津津药业有限公司
数据,数据后台工程师,天津,天津市,12000-20000元/月,16000.0,硕士,3-5年,天津清润博智能科技有限公司
数据,核销型数据采集员,天津,天津市,4000-9000元/月,6500.0,不限,不限,艾尔普瑞集团有限公司
数据,轻松坐班数据标注员,天津,天津市,3000-6000元/月,4500.0,大专,不限,东莞市杰尼赛思信息科技有限公司
数据,数据标注/AI训练师,天津,天津市,2000-4000元/月,3000.0,大专,不限,天津市兴奇光桦科技有限公司
数据,数据标注/AI训练师,天津,天津市,2000-3000元/月,2500.0,大专,不限,天津市兴奇光桦科技有限公司
数据,数据标注专员（双休坐班,天津,天津市,4000-5000元/月,4500.0,大专,1-3年,天津杰玛信息服务有限公司
数据,loT数据采集工程师,天津,天津市,4000-5000元/月,4500.0,本科,1-3年,鑫海联合新能源科技天津有限公司
数据,数据部门领导接送驾驶员,天津,天津市,7000-8000元/月,7500.0,不限,不限,天津锦华汽车有限公司
数据,数据中心设备运行主管,天津,天津市,7000-9000元/月,8000.0,本科,5-10年,天津翔明科技有限责任公司
数据,工厂数据管理科驾驶员,天津,天津市,8000-9000元/月,8500.0,不限,不限,河北元赫汽车服务有限公司
数据,数据标注/ai训练师,天津,天津市,3000-4000元/月,3500.0,大专,不限,模道天津动漫设计有限公司
数据,数据标注员-八小时双休,天津,天津市,3000-5000元/月,4000.0,大专,不限,四川澄澈企业管理有限公司
数据,数据标注/ai训练师,天津,天津市,3000-6000元/月,4500.0,大专,不限,山西星火飞扬科技有限公司
数据,数据标注（文本视频）,天津,天津市,4000-5000元/月,4500.0,大专,不限,天津智创新业科技有限公司
数据,电力物联与数据实施工程师（新能源方向）,天津,天津市,5000-9000元/月,7000.0,大专,1-3年,鑫达源数字能源天津有限公司
数据,数据助理（OCR）,天津,天津市,8000-12000元/月,10000.0,本科,1-3年,优视科技中国有限公司
数据,物流/中台数据运营,天津,天津市,8000-12000元/月,10000.0,本科,1-3年,上海寻梦信息技术有限公司
数据,数据标注/AI训练师,天津,天津市,5000-6000元/月,5500.0,本科,不限,天津汇宜科技有限公司
数据,电商数据分析财务专员,天津,天津市,8000-12000元/月,10000.0,不限,1-3年,彩越跨境电子商务天津有限公司
数据,数据统计分析专员,天津,天津市,4000-5000元/月,4500.0,大专,1-3年,吉林省皓创供应链管理有限公司
数据,数据标注/AI训练师,天津,天津市,25-30元/月,27.5,不限,不限,河北鼎联科技有限公司
数据,数据中心普工/操作工,天津,天津市,240-250元/月,245.0,不限,不限,金石易服北京科技有限公司
数据,数据治理项目经理,河北,河北省保定市,11000-18000元/月,14500.0,本科,5-10年,数联信成都网络信息技术有限公司
数据,数据专员,河北,河北省石家庄市,4000-6000元/月,5000.0,大专,1-3年,石家庄皇金科技有限公司
数据,首席数据官,河北,河北省唐山市,8000-13000元/月,10500.0,本科,1-3年,唐山罗宾科技有限公司
数据,数据专员,河北,河北省衡水市,3000-6000元/月,4500.0,大专,不限,河北冠宸网络科技有限公司
数据,gis数据处理工程师,河北,河北省石家庄市,4000-6000元/月,5000.0,本科,不限,河北云图数字科技有限公司
数据,数据标注员,河北,河北省保定市,3000-4000元/月,3500.0,高中,不限,河北安琴科技有限公司
数据,数据标注员,河北,河北省石家庄市,3000-5000元/月,4000.0,大专,不限,石家庄辰数新能源科技有限公司
数据,数据标注,河北,河北省石家庄市,3000-6000元/月,4500.0,中专/中技,,石家庄辰数新能源科技有限公司
数据,数据统计员,河北,河北省秦皇岛市,3000-4000元/月,3500.0,大专,不限,秦皇岛大微旅游发展有限公司
数据,数据标注专员,河北,河北省邢台市,2000-6000元/月,4000.0,高中,,邢台蓓洁文化传媒有限公司
数据,数据标注员,河北,河北省邢台市,2000-3000元/月,2500.0,高中,不限,邢台博览数据科技有限公司
数据,数据标注,河北,河北省石家庄市,4000-5000元/月,4500.0,本科,1-3年,河北博士林科技开发有限公司
数据,数据专员,河北,河北省廊坊市,5000-8000元/月,6500.0,大专,1-3年,固安县加减乘除服饰批发中心
数据,数据采集,河北,河北省邯郸市,3000-5000元/月,4000.0,不限,1-3年,邯郸市汉腾广告有限公司
数据,数据中心电气工程师(直签),河北,河北省张家口市,12000-18000元/月,15000.0,大专,3-5年,大位数据科技广东集团股份有限公司北京分公司
数据,数据标注员,河北,河北省邢台市,3000-5000元/月,4000.0,高中,不限,邢台众维科技有限公司
数据,数据标注培训师,河北,河北省承德市,3000-5000元/月,4000.0,大专,1-3年,中拓数字创意产业园承德有限公司
数据,数据收集,河北,河北省石家庄市,2000-3000元/月,2500.0,不限,不限,河北盛铭机械设备有限公司
数据,数据标注,河北,河北省廊坊市,150-300元/月,225.0,大专,不限,河北鼎联科技有限公司
数据,数据治理师,河北,河北省衡水市,3000-5000元/月,4000.0,本科,1-3年,河北锐角数字科技有限公司
数据,数据分析（建模）师,河北,河北省石家庄市,9000-14000元/月,11500.0,本科,5-10年,中数智创科技有限公司
数据,数据标注专员,河北,河北省承德市,2000-4000元/月,3000.0,不限,不限,恒云河北数字科技有限公司
数据,数据标注/AI训练师,河北,河北省承德市,2000-4000元/月,3000.0,不限,不限,恒云河北数字科技有限公司
数据,数据标注/AI训练师,河北,河北省承德市,3000-4000元/月,3500.0,中专/中技,不限,恒云河北数字科技有限公司
数据,项目经理-数据应用方向,河北,河北省保定市,15000-30000元/月,22500.0,本科,5-10年,中化数智科技有限公司
数据,项目经理-数据方向,河北,河北省保定市,15000-30000元/月,22500.0,本科,5-10年,中化数智科技有限公司
数据,数据标注,河北,河北省沧州市,10-40元/月,25.0,不限,不限,沧州市玄极数字科技有限公司
数据,数据标注/AI训练师,河北,河北省邢台市,3000-6000元/月,4500.0,大专,,邢台卓数科技有限公司
数据,数据标注工作人员,河北,河北省承德市,3000-4000元/月,3500.0,高中,不限,恒云河北数字科技有限公司
数据,ai数据标注员,河北,河北省承德市,3000-7000元/月,5000.0,大专,不限,中拓数字创意产业园承德有限公司
数据,数据标注专员,河北,河北省承德市,3000-5000元/月,4000.0,大专,不限,恒云河北数字科技有限公司
数据,数据审核员,河北,河北省保定市,3000-6000元/月,4500.0,本科,,保定曜城数字科技有限公司
数据,数据标注员,河北,河北省保定市,3000-6000元/月,4500.0,大专,不限,保定曜城数字科技有限公司
数据,ai数据标注,河北,河北省石家庄市,3000-4000元/月,3500.0,本科,不限,河北雄安数研科技有限公司
数据,数据治理工程师,河北,河北省保定市,5000-10000元/月,7500.0,本科,1-3年,北京新本事数智科技有限公司
数据,数据岗,河北,河北省邯郸市,4000-7000元/月,5500.0,本科,1-3年,北京中轴智巍科技有限公司
数据,数据标注,河北,河北省邯郸市,3000-5000元/月,4000.0,高中,不限,河北邯汉电力有限公司
数据,数据标注/AI训练师,河北,河北省承德市,3000-4000元/月,3500.0,中专/中技,不限,恒云河北数字科技有限公司
数据,数据标注/AI训练师,河北,河北省承德市,3000-6000元/月,4500.0,中专/中技,不限,恒云河北数字科技有限公司
数据,数据标注/ai训练师,河北,河北省廊坊市,4000-7000元/月,5500.0,中专/中技,不限,廊坊市数慧云图科技有限公司
数据,数据分析,河北,河北省保定市,10000-15000元/月,12500.0,本科,5-10年,长城汽车股份有限公司
数据,数据产品经理-生产经营方向,河北,河北省保定市,15000-30000元/月,22500.0,本科,3-5年,中化数智科技有限公司
数据,数据产品经理-生产经营方向,河北,河北省保定市,15000-30000元/月,22500.0,本科,3-5年,中化数智科技有限公司
数据,数据标注/数据采集-接受无经验,河北,河北省石家庄市,5000-6000元/月,5500.0,不限,不限,河北霖玄机器人科技有限公司
数据,数据标注/AI训练师,河北,河北省承德市,2000-4000元/月,3000.0,高中,不限,恒云河北数字科技有限公司
数据,数据标注/AI训练师,河北,河北省承德市,2000-4000元/月,3000.0,高中,不限,恒云河北数字科技有限公司
数据,数据标注/AI训练师,河北,河北省保定市,3000-6000元/月,4500.0,大专,1-3年,海数智云河北省网络科技有限公司
数据,数据BP,河北,河北省廊坊市,4000-6000元/月,5000.0,大专,1-3年,河北平原餐饮管理服务有限公司
数据,数据标注/ai训练师,河北,河北省石家庄市,3000-4000元/月,3500.0,本科,不限,河北雄安数研科技有限公司
数据,数据处理算法工程师,河北,河北省石家庄市,15000-20000元/月,17500.0,硕士,3-5年,杭州海康威视数字技术股份有限公司
数据,数据标注,河北,河北省邢台市,3000-4000元/月,3500.0,不限,不限,邢台蓓洁文化传媒有限公司
数据,数据标注,河北,河北省衡水市,10-20元/月,15.0,不限,不限,海南融汇南海科技有限公司
数据,数据开发,河北,河北省石家庄市,4000-6000元/月,5000.0,大专,1-3年,河北华恒信通信技术有限公司
数据,数据专员,河北,河北省石家庄市,4000-5000元/月,4500.0,大专,1-3年,石家庄金凰锐网络科技有限公司
数据,数据标注,河北,河北省邯郸市,3000-5000元/月,4000.0,中专/中技,不限,鸡泽县帅旗五金机械店
数据,数据挖掘,河北,河北省廊坊市,4000-8000元/月,6000.0,本科,1-3年,北京华科云信科技有限公司
数据,数据开发,河北,河北省石家庄市,10000-15000元/月,12500.0,本科,3-5年,敬业钢铁有限公司
数据,数据标注,河北,河北省邢台市,2000-3000元/月,2500.0,中专/中技,,邢台佳晟智能科技有限公司
数据,数据标注,河北,河北省邯郸市,3000-4000元/月,3500.0,不限,不限,鸡泽县帅旗五金机械店
数据,数据标注,河北,河北省保定市,3000-5000元/月,4000.0,不限,1-3年,曲阳烁岗园林雕塑有限公司
数据,数据挖掘,河北,河北省廊坊市,4000-9000元/月,6500.0,本科,1-3年,北京华科云信科技有限公司
数据,数据采集,河北,河北省石家庄市,12000-16000元/月,14000.0,大专,不限,石家庄思无界信息技术服务有限公司
数据,数据采集,河北,河北省石家庄市,12000-16000元/月,14000.0,高中,不限,石家庄思无界信息技术服务有限公司
数据,数据采集,河北,河北省石家庄市,3000-6000元/月,4500.0,本科,不限,河北云图智策信息咨询有限公司
数据,数据标注,河北,河北省保定市,5000-8000元/月,6500.0,大专,不限,神州云星科技有限公司
